Product Handle,Product Title,Product Description,Product Status,Product Discountable,Variant Title,Variant SKU,Variant Allow Backorder,Variant Manage Inventory,Variant Price USD,Variant Price KHR,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Product Image 1 Url
classic-cotton-tee,Classic Cotton Tee,Soft 100% cotton crew-neck tee. Everyday essential.,published,TRUE,Black / S,TEE-BLK-S,FALSE,TRUE,9.99,41000,Size,S,Color,Black,https://img.alistore.com/sample/classic-cotton-tee.jpg
classic-cotton-tee,Classic Cotton Tee,Soft 100% cotton crew-neck tee. Everyday essential.,published,TRUE,Black / M,TEE-BLK-M,FALSE,TRUE,9.99,41000,Size,M,Color,Black,https://img.alistore.com/sample/classic-cotton-tee.jpg
classic-cotton-tee,Classic Cotton Tee,Soft 100% cotton crew-neck tee. Everyday essential.,published,TRUE,Black / L,TEE-BLK-L,FALSE,TRUE,9.99,41000,Size,L,Color,Black,https://img.alistore.com/sample/classic-cotton-tee.jpg
classic-cotton-tee,Classic Cotton Tee,Soft 100% cotton crew-neck tee. Everyday essential.,published,TRUE,White / S,TEE-WHT-S,FALSE,TRUE,9.99,41000,Size,S,Color,White,https://img.alistore.com/sample/classic-cotton-tee.jpg
classic-cotton-tee,Classic Cotton Tee,Soft 100% cotton crew-neck tee. Everyday essential.,published,TRUE,White / M,TEE-WHT-M,FALSE,TRUE,9.99,41000,Size,M,Color,White,https://img.alistore.com/sample/classic-cotton-tee.jpg
classic-cotton-tee,Classic Cotton Tee,Soft 100% cotton crew-neck tee. Everyday essential.,published,TRUE,White / L,TEE-WHT-L,FALSE,TRUE,9.99,41000,Size,L,Color,White,https://img.alistore.com/sample/classic-cotton-tee.jpg
everyday-hoodie,Everyday Pullover Hoodie,Cozy fleece-lined pullover hoodie for cool evenings.,published,TRUE,Charcoal / S,HOOD-CHR-S,FALSE,TRUE,24.99,102500,Size,S,Color,Charcoal,https://img.alistore.com/sample/everyday-hoodie.jpg
everyday-hoodie,Everyday Pullover Hoodie,Cozy fleece-lined pullover hoodie for cool evenings.,published,TRUE,Charcoal / M,HOOD-CHR-M,FALSE,TRUE,24.99,102500,Size,M,Color,Charcoal,https://img.alistore.com/sample/everyday-hoodie.jpg
everyday-hoodie,Everyday Pullover Hoodie,Cozy fleece-lined pullover hoodie for cool evenings.,published,TRUE,Charcoal / L,HOOD-CHR-L,FALSE,TRUE,24.99,102500,Size,L,Color,Charcoal,https://img.alistore.com/sample/everyday-hoodie.jpg
everyday-hoodie,Everyday Pullover Hoodie,Cozy fleece-lined pullover hoodie for cool evenings.,published,TRUE,Navy / S,HOOD-NVY-S,FALSE,TRUE,24.99,102500,Size,S,Color,Navy,https://img.alistore.com/sample/everyday-hoodie.jpg
everyday-hoodie,Everyday Pullover Hoodie,Cozy fleece-lined pullover hoodie for cool evenings.,published,TRUE,Navy / M,HOOD-NVY-M,FALSE,TRUE,24.99,102500,Size,M,Color,Navy,https://img.alistore.com/sample/everyday-hoodie.jpg
everyday-hoodie,Everyday Pullover Hoodie,Cozy fleece-lined pullover hoodie for cool evenings.,published,TRUE,Navy / L,HOOD-NVY-L,FALSE,TRUE,24.99,102500,Size,L,Color,Navy,https://img.alistore.com/sample/everyday-hoodie.jpg
slim-chino-pants,Slim Chino Pants,Tailored slim-fit chinos in stretch cotton twill.,published,TRUE,Khaki / 30,CHINO-KHK-30,FALSE,TRUE,19.99,82000,Size,30,Color,Khaki,https://img.alistore.com/sample/slim-chino-pants.jpg
slim-chino-pants,Slim Chino Pants,Tailored slim-fit chinos in stretch cotton twill.,published,TRUE,Khaki / 32,CHINO-KHK-32,FALSE,TRUE,19.99,82000,Size,32,Color,Khaki,https://img.alistore.com/sample/slim-chino-pants.jpg
slim-chino-pants,Slim Chino Pants,Tailored slim-fit chinos in stretch cotton twill.,published,TRUE,Khaki / 34,CHINO-KHK-34,FALSE,TRUE,19.99,82000,Size,34,Color,Khaki,https://img.alistore.com/sample/slim-chino-pants.jpg
slim-chino-pants,Slim Chino Pants,Tailored slim-fit chinos in stretch cotton twill.,published,TRUE,Black / 30,CHINO-BLK-30,FALSE,TRUE,19.99,82000,Size,30,Color,Black,https://img.alistore.com/sample/slim-chino-pants.jpg
slim-chino-pants,Slim Chino Pants,Tailored slim-fit chinos in stretch cotton twill.,published,TRUE,Black / 32,CHINO-BLK-32,FALSE,TRUE,19.99,82000,Size,32,Color,Black,https://img.alistore.com/sample/slim-chino-pants.jpg
slim-chino-pants,Slim Chino Pants,Tailored slim-fit chinos in stretch cotton twill.,published,TRUE,Black / 34,CHINO-BLK-34,FALSE,TRUE,19.99,82000,Size,34,Color,Black,https://img.alistore.com/sample/slim-chino-pants.jpg
